Luminosity,Temperature,Humidity,Infrared,Distance,CreatedAt,IsAlarm
9.08,23.28,42,25,14.8,11/05/2020 15:13:46,No
30.47,23.28,42,26,154.91,11/05/2020 15:13:47,No
26.46,23.28,48,23,155.8,11/05/2020 15:13:48,No
39.94,23.28,48,24,155.79,11/05/2020 15:13:49,No
45.51,23.28,48,24,12.08,11/05/2020 15:13:50,No
54.1,23.28,48,25,156.99,11/05/2020 15:13:51,No
55.57,23.28,48,26,156.15,11/05/2020 15:13:52,No
57.32,23.28,48,23,9.62,11/05/2020 15:13:53,No
66.5,23.28,48,24,11.26,11/05/2020 15:13:54,No
69.04,23.28,48,24,10.39,11/05/2020 15:13:55,No
60.25,23.28,48,25,10.11,11/05/2020 15:13:56,No
59.18,23.96,48,26,9.34,11/05/2020 15:13:57,No
61.62,23.28,48,23,10.37,11/05/2020 15:13:58,No
100,23.28,48,24,6.39,11/05/2020 15:13:59,No
86.91,23.28,48,24,6.14,11/05/2020 15:14:00,No
45.7,24.92,48,25,6.45,11/05/2020 15:14:01,No
37.99,24.31,48,26,154.1,11/05/2020 15:14:02,No
18.55,24.77,48,23,400,11/05/2020 15:14:03,No
24.9,24.12,48,24,400,11/05/2020 15:14:04,No
24.41,24.44,48,24,400,11/05/2020 15:14:05,No
25.49,24.44,45,25,400,11/05/2020 15:14:06,No
25.39,24.44,45,26,400,11/05/2020 15:14:07,No
25.49,24.44,45,23,400,11/05/2020 15:14:08,No
25.88,24.44,45,24,400,11/05/2020 15:14:09,No
25.98,24.44,45,24,194.66,11/05/2020 15:14:10,No
25.88,24.44,45,25,193.78,11/05/2020 15:14:11,No
25.98,24.44,45,26,194.64,11/05/2020 15:14:12,No
26.46,24.44,45,23,400,11/05/2020 15:14:13,No
26.46,24.44,45,24,193.73,11/05/2020 15:14:14,No
25.88,24.12,45,23,400,11/05/2020 15:14:15,No
26.56,24.44,42,32,400,11/05/2020 15:14:16,No
25.59,24.77,42,23,400,11/05/2020 15:14:17,No
26.46,24.77,42,25,400,11/05/2020 15:14:18,No
100,132.4,42,44,4,11/05/2020 15:14:19,Yes
100,115,42,34,23,11/05/2020 15:14:20,Yes
100,109.52,42,43,21,11/05/2020 15:14:21,Yes
100,94.05,42,32,21,11/05/2020 15:14:22,Yes
100,96.63,42,35,32,11/05/2020 15:14:23,Yes
100,99.53,42,43,12,11/05/2020 15:14:24,Yes
73.63,27.67,42,22,65,11/05/2020 15:14:25,No
73.05,27.67,42,32,34,11/05/2020 15:14:26,No
72.95,27.34,42,23,23,11/05/2020 15:14:27,No
75.59,27.67,42,234,400,11/05/2020 15:14:28,No
73.73,27.34,42,24,23,11/05/2020 15:14:29,No
75.29,27.34,48,23,45,11/05/2020 15:14:30,No
76.17,27.67,48,25,67,11/05/2020 15:14:31,No
73.63,27.34,48,24,45,11/05/2020 15:14:32,No
75,27.67,48,25,67,11/05/2020 15:14:33,No
74.51,27.99,48,26,78,11/05/2020 15:14:34,No
74.9,28.63,48,23,89,11/05/2020 15:14:35,No
74.32,27.34,48,24,43,11/05/2020 15:14:36,No
74.61,27.34,48,24,54,11/05/2020 15:14:37,No
73.54,27.34,48,25,76,11/05/2020 15:14:38,No
71.48,27.34,48,26,87,11/05/2020 15:14:39,No
73.34,27.34,48,23,54,11/05/2020 15:14:40,No
73.83,27.34,48,24,32,11/05/2020 15:14:41,No
71.88,27.34,48,24,43,11/05/2020 15:14:42,No
73.24,27.67,48,25,193.4,11/05/2020 15:14:43,No
72.27,27.34,48,26,33,11/05/2020 15:14:44,No
71.97,27.34,48,23,55,11/05/2020 15:14:45,No
71.78,27.67,48,24,44,11/05/2020 15:14:46,No
70.31,27.34,48,23,66,11/05/2020 15:14:47,No
69.82,27.34,45,32,77,11/05/2020 15:14:48,No
70.7,27.34,45,234,88,11/05/2020 15:14:49,No
70.02,27.34,45,24,44,11/05/2020 15:14:50,No
36.52,63,45,25,32,12/07/2020 21:04:12,Yes
35.84,72,45,33,21,12/07/2020 21:04:13,Yes
36.62,52,45,34,56,12/07/2020 21:04:14,Yes
35.16,72,45,36,22,12/07/2020 21:04:15,Yes
35.06,83,45,43,78,12/07/2020 21:04:16,Yes
